product_id,product_name,category,units,revenue,gross_profit,gross_margin_rate
P2099,Set Core,Software,699,556107.23,211912.64,0.3811
P2101,Among Plus,Hardware,713,553090.84,246992.81,0.4466
P2006,Economy Pro,Software,694,548309.63,185410.09,0.3381
P2106,Condition Plus,Software,687,541369.48,201977.74,0.3731
P2196,Wide Max,Software,689,541264.17,242134.82,0.4474
P2143,Stand Pro,Services,685,536718.37,103024.32,0.192
P2057,Friend Pro,Services,696,531690.61,95187.25,0.179
P2115,Full Max,Software,689,529679.39,165852.94,0.3131
P2229,Break Edge,Software,656,529470.28,195251.4,0.3688
P2016,Statement Plus,Accessories,716,528597.95,193839.31,0.3667
P2203,Actually Edge,Services,675,527257.32,239349.57,0.454
P2009,Those Edge,Services,662,521942.84,105544.84,0.2022
P2060,Carry Edge,Software,645,520587.47,209562.02,0.4025
P2230,Head Pro,Hardware,745,520306.34,150287.19,0.2888
P2012,Real Max,Hardware,723,520053.09,109844.58,0.2112
P2022,Plant Core,Hardware,648,516309.23,140559.95,0.2722
P2018,She Plus,Software,713,516284.25,220845.57,0.4278
P2032,Law Plus,Software,631,515543.48,154075.13,0.2989
P2158,Religious Pro,Accessories,650,514177.68,218284.68,0.4245
P2094,Rest Plus,Software,696,514114.03,143083.39,0.2783
P2156,Half Edge,Software,641,513557.77,137694.6,0.2681
P2238,Health Plus,Hardware,665,507033.78,235946.53,0.4653
P2128,Cell Plus,Software,702,504791.3,92815.58,0.1839
P2223,Minute Edge,Hardware,630,501284.48,125514.68,0.2504
P2124,Certainly Edge,Hardware,628,494318.86,128213.7,0.2594
